Hospital ID,Hospital Name,Location,XOffset,YOffset,Category,Number of Beds,Number of Waitlist,Max Competence Charge,Number of Staffs,Staff Scores 1,Staff Scores 2,Staff Scores 3,Staff Scores 4,Staff Scores 5,Staff Scores 6,Staff Scores 7,Staff Scores 8,Staff Scores 9,Staff Scores 10,Staff Scores 11,Staff Scores 12,Staff Scores 13,Staff Scores 14,Staff Scores 15,Staff Scores 16,Staff Scores 17,Staff Scores 18,Staff Scores 19,Staff Scores 20,Number of Tests,Extra Medical Cost 1,Extra Medical Cost 2,Extra Medical Cost 3,Extra Medical Cost 4,Extra Medical Cost 5,Extra Medical Cost 6,Extra Medical Cost 7,Extra Medical Cost 8,Extra Medical Cost 9,Extra Medical Cost 10,Extra Medical Cost 11,Extra Medical Cost 12,Extra Medical Cost 13,Extra Medical Cost 14,Mortality Measure 1,Mortality Measure 2,Mortality Measure 3,Mortality Measure 4,Mortality Measure 5,Mortality Measure 6,Safety of Care Measure 1,Safety of Care Measure 2,Safety of Care Measure 3,Safety of Care Measure 4,Safety of Care Measure 5,Readmission Measure 1,Readmission Measure 2,Readmission Measure 3,Readmission Measure 4,Readmission Measure 5,Readmission Measure 6,Patient Experience Measure 1,Patient Experience Measure 2,Patient Experience Measure 3,Patient Experience Measure 4,Patient Experience Measure 5,Patient Experience Measure 6,Timely and Effective Care Measure 1,Timely and Effective Care Measure 2,Timely and Effective Care Measure 3,Timely and Effective Care Measure 4,Timely and Effective Care Measure 5,Timely and Effective Care Measure 6,Timely and Effective Care Measure 7
10,ABHILASHA NURSING HOME,Agra,-5.4445,1.1703,1,100,18,75000,15,14,89,26,72,49,10,2,19,84,95,19,88,87,7,2,19,17,55,83,74,15,5790,2890,250,7070,2760,4450,960,3510,6130,2140,5600,300,1910,1510,87,111,104,67,1000000000.0,1000000000.0,0.0971,0.0705,0.0838,0.0947,0.0532,6.8292,1000000000.0,44.9669,4.129,1000000000.0,6.2141,2,1000000000.0,7,6,8,9,1000000000.0,38.22,9.41,43.39,23.95,2.78,45.79
11,JANAK TANDON NURSHING HOME,Agra,8.5291,4.7336,1,100,10,69000,15,69,88,78,95,85,8,77,23,13,79,27,57,30,35,52,43,14,62,14,53,15,4380,3220,1830,2340,6030,3030,3140,6940,2810,3590,4770,6620,7010,880,49,114,129,30,1000000000.0,84,0.073,0.0913,0.089,0.0645,0.063,7.4492,1000000000.0,17.12,45.4607,21.3679,49.7032,10,1000000000.0,1000000000.0,10,9,1,4.76,1000000000.0,1000000000.0,45.04,33.4,18.2,53.7
12,SWASTIK NURSING HOME,Agra,6.979,9.9871,1,300,17,21000,15,63,31,51,98,21,69,22,88,63,71,82,43,76,36,93,21,3,4,54,90,15,1670,6900,2930,3030,3730,6840,4200,5970,6640,4280,2110,4890,6280,3200,1000000000.0,88,1000000000.0,1000000000.0,81,40,0.0836,0.0762,0.0702,0.0961,0.0623,16.7625,0.647,1000000000.0,24.3826,7.2175,33.4933,5,8,7,4,5,6,14.95,14.37,18.57,32.74,17.78,44.09,1000000000.0
13,ARNA HOSPITAL,Agra,9.4662,7.78,1,150,16,50000,15,40,7,18,97,14,71,58,6,45,26,34,60,62,5,98,22,25,56,84,97,15,6820,4840,5250,5800,940,290,990,5410,100,4690,3240,3290,230,1060,133,1000000000.0,105,92,142,46,0.0972,0.0676,0.0707,0.0504,0.0969,26.017,1000000000.0,1000000000.0,32.3493,4.8573,11.7064,4,1,1000000000.0,5,0,10,42.73,18.86,6.0,14.86,28.34,4.53,35.9
14,LIFE CARE RD GD MEMORIAL NURSING HOME,Agra,-2.0173,2.5207,1,250,11,24000,15,75,28,71,32,41,79,78,35,67,2,24,91,59,43,81,77,75,71,49,71,15,1960,850,6670,1010,3220,2830,3020,6560,1510,5110,5000,6900,3540,4220,1000000000.0,125,1000000000.0,109,1000000000.0,114,0.0786,0.063,0.0514,0.0538,0.0621,1000000000.0,24.8,21.8827,1000000000.0,16.1187,32.5611,5,0,2,1,5,5,8.2,43.3,14.56,44.33,20.46,1000000000.0,13.34
15,VIVEKANAND HOSPITAL,Agra,-4.4707,-8.5187,1,250,13,7000,15,24,90,16,13,46,60,43,39,56,45,17,85,59,16,91,34,51,100,6,93,15,6910,3750,7090,3270,2080,2140,7020,5390,3540,680,2880,5250,4110,4930,89,108,26,120,1000000000.0,115,0.0611,0.0616,0.0798,0.0793,0.0832,41.4829,49.3618,46.8879,1000000000.0,9.7367,18.0591,2,2,1,9,1000000000.0,1000000000.0,1000000000.0,7.06,39.16,32.27,40.56,55.25,1000000000.0
16,SYNERGYPLUS HOSPITAL,Agra,-5.7007,4.1653,1,250,14,53000,15,29,10,42,65,61,84,61,83,97,74,80,30,18,33,89,63,62,16,6,49,15,5060,2150,1540,3350,3100,6240,1360,4790,1440,5500,2230,3120,280,750,44,29,1000000000.0,134,1000000000.0,105,0.0687,0.0718,0.063,0.0602,0.0502,13.8859,1000000000.0,41.6799,0.7547,48.1054,5.1632,3,1000000000.0,8,6,3,0,68.71,21.11,37.31,3.25,30.46,7.6,1000000000.0
17,AASHIWADNURSING HOME,Agra,-5.4399,8.165,1,250,14,42000,15,65,65,88,38,74,38,24,10,78,84,79,51,25,97,58,13,23,42,24,51,15,5120,250,2370,5960,1910,1580,1240,5570,2880,3060,1270,6680,450,230,135,91,99,75,1000000000.0,1000000000.0,0.0611,0.0947,0.0724,0.0924,0.084,1000000000.0,34.3077,6.6698,47.1134,9.4917,1000000000.0,1000000000.0,7,0,1000000000.0,7,8,40.62,27.04,49.51,37.06,69.46,1.41,61.22
18,ASHIRWAD NURSING HOME,Agra,7.5453,-5.932,1,200,10,66000,15,88,73,6,56,89,52,20,73,80,98,97,98,15,72,95,8,9,31,75,4,15,6240,1680,6720,2850,6930,6970,3740,2380,3620,4370,5240,6560,3130,2990,112,1000000000.0,121,35,1000000000.0,1000000000.0,0.093,0.0676,0.0944,0.0897,0.0578,24.0659,1000000000.0,1000000000.0,1000000000.0,43.3866,40.8055,5,1000000000.0,1000000000.0,9,1000000000.0,1000000000.0,56.84,58.42,1000000000.0,4.91,54.07,42.42,23.03
19,MAYA HOSPITAL,Agra,3.3452,8.9466,1,100,18,24000,15,80,40,81,10,82,43,87,62,65,22,81,86,3,74,4,69,14,45,63,24,15,6250,1330,6770,5340,6940,260,3790,3400,2700,4960,5390,360,5490,1500,42,92,1000000000.0,145,90,1000000000.0,0.0681,0.0742,0.0829,0.0667,0.0553,42.7941,1.9895,17.0637,4.195,1000000000.0,28.7998,6,4,0,10,4,1000000000.0,1000000000.0,3.45,68.02,68.45,2.31,54.79,16.18
20,GLOBAL HEART INSTITUTE,Agra,3.5442,-6.5309,1,300,15,34000,15,58,36,61,88,68,15,66,32,88,72,85,19,68,36,5,29,28,20,44,95,15,5090,2000,6340,5650,4990,960,650,3440,6810,2100,2700,6480,3360,6820,1000000000.0,1000000000.0,86,1000000000.0,44,137,0.0869,0.089,0.0712,0.0847,0.0857,40.662,32.7724,15.1306,1000000000.0,22.3991,1000000000.0,10,1000000000.0,0,3,4,9,1000000000.0,26.53,24.26,43.48,1000000000.0,43.75,20.92
21,SHREE RAM HOSPITAL,Agra,-6.6625,-1.3062,1,200,14,23000,15,88,50,21,16,35,25,11,13,34,93,32,89,100,22,13,71,25,98,8,56,15,5340,1010,3680,1780,6230,2550,6510,2640,3400,4490,2790,2840,4980,2070,79,29,110,99,69,35,0.0842,0.0853,0.06,0.0762,0.0938,21.6603,1000000000.0,28.2669,38.9724,36.5097,1.7258,3,0,4,1000000000.0,7,1,67.46,25.7,12.78,1000000000.0,14.51,60.91,67.74
22,NAV JEEVAN NURSING HOME,Agra,-2.7201,-8.348,1,250,16,19000,15,8,69,47,71,36,50,89,25,77,15,71,5,27,64,87,31,16,41,12,1,15,3150,1450,4980,6480,810,5970,1430,5160,5350,1920,5350,2410,5080,4040,150,140,142,57,56,1000000000.0,0.0976,0.0969,0.0727,0.0973,0.0981,8.1156,9.0199,1000000000.0,1000000000.0,23.6408,1000000000.0,3,1,1,0,6,6,28.57,21.61,11.46,44.83,56.79,1000000000.0,63.75
23,AAROGYA HOSPITAL AND ACCIDENTAL FRACTURE CARE CENTRE,Agra,-0.1477,5.4496,1,150,17,55000,15,16,74,83,72,66,66,76,52,91,91,60,48,52,67,81,7,43,27,94,53,15,5160,7050,6320,7020,3640,1830,1370,5450,7000,250,4660,6630,2230,470,113,96,1000000000.0,119,1000000000.0,1000000000.0,0.06,0.0918,0.0592,0.0942,0.0947,20.6434,21.5611,22.9343,1000000000.0,39.4959,14.9334,1000000000.0,8,4,1000000000.0,7,4,69.33,1000000000.0,39.34,50.7,16.69,34.28,48.89
24,PARAS HOSPITAL,Agra,-1.9626,4.5331,1,300,11,51000,15,31,32,61,100,12,67,62,86,79,11,40,34,67,23,16,95,96,35,66,92,15,4630,980,7070,380,1940,4010,500,4080,3290,5160,5200,2820,450,3790,1000000000.0,135,133,121,1000000000.0,24,0.0896,0.0783,0.0697,0.0926,0.093,1000000000.0,3.5287,39.8181,13.4704,32.4367,19.2239,1,10,7,1,1000000000.0,5,22.94,64.45,27.04,56.19,36.26,1000000000.0,36.08
25,INDRA HOSPITAL,Agra,-8.0289,0.7807,1,250,16,45000,15,42,55,32,30,7,82,68,14,51,28,49,37,51,19,15,84,95,1,67,78,15,2440,680,630,5040,3830,1960,6230,580,2710,4810,2350,6730,2160,1380,90,1000000000.0,26,1000000000.0,39,29,0.0758,0.0936,0.0501,0.0882,0.0556,8.1277,42.3066,17.3638,3.5104,41.6842,1000000000.0,8,6,8,4,1,1000000000.0,1000000000.0,37.23,31.94,1000000000.0,51.54,8.13,7.24
26,DR.PANDEY HOSPITAL AND SURGICAL CENTRE,Agra,2.9521,5.0234,1,150,12,36000,15,10,32,38,6,42,3,4,52,32,40,1,17,19,59,98,82,82,83,65,33,15,4310,1420,2040,5440,5720,5140,4510,4510,4010,6290,6960,1790,2450,1930,1000000000.0,35,20,1000000000.0,136,139,0.064,0.0772,0.0655,0.074,0.0789,43.2684,40.2653,33.7882,34.5507,20.014,1.7433,1000000000.0,1000000000.0,6,4,3,3,69.21,37.99,59.02,10.31,26.99,52.6,59.82
27,TAJ HOSPITAL AND DENTAL CLINIC,Agra,-7.1143,3.5281,1,300,15,35000,15,97,69,37,69,71,97,23,1,93,69,28,16,64,5,3,67,94,8,15,71,15,5100,1350,3560,3730,3910,4580,4940,4490,3660,2410,470,3310,1450,6400,91,93,1000000000.0,21,62,143,0.0951,0.0736,0.0658,0.067,0.0505,12.4555,6.7137,39.3034,12.4185,0.1988,6.1377,1000000000.0,3,1000000000.0,3,0,3,40.97,48.42,6.09,57.69,21.42,66.69,58.06
28,TRP HOSPITAL,Agra,-0.2101,6.7789,1,150,11,48000,15,59,61,32,83,38,28,44,69,47,47,39,29,9,94,57,14,43,95,33,84,15,6550,3970,5470,600,6350,2670,2830,6770,6870,1420,4640,5530,4510,5480,117,1000000000.0,43,1000000000.0,133,1000000000.0,0.0814,0.0673,0.0984,0.0608,0.0828,20.6339,29.7692,49.5605,38.0041,1000000000.0,25.7058,1000000000.0,10,1000000000.0,1,3,1000000000.0,34.7,31.71,57.28,26.82,68.53,1000000000.0,31.93
29,G D MEMORIAL HOSPITAL,Agra,5.7718,-7.2087,1,250,19,12000,15,23,6,50,34,35,92,83,79,6,46,11,34,40,14,94,32,47,97,34,42,15,1740,4920,5660,5830,5640,6530,7000,300,1380,5910,1720,1160,4600,1340,33,126,1000000000.0,1000000000.0,1000000000.0,90,0.0937,0.0869,0.0649,0.0773,0.0918,19.0282,21.099,1000000000.0,45.7213,47.7864,5.2323,10,1000000000.0,5,1000000000.0,1000000000.0,1,8.41,39.67,43.14,24.42,51.64,1000000000.0,8.63
30,MITTAL HOSPITAL,Agra,-6.7924,-3.508,1,250,18,69000,15,97,42,21,58,26,32,38,6,99,4,5,22,37,33,14,38,75,14,19,13,15,1750,4400,4740,3900,2750,6060,2450,6240,4280,4850,2630,1430,280,1490,85,1000000000.0,59,124,56,1000000000.0,0.0746,0.0915,0.0568,0.0701,0.0585,47.2693,1000000000.0,37.8398,1000000000.0,29.9802,1000000000.0,7,6,2,1,6,1000000000.0,3.94,1000000000.0,1000000000.0,26.71,1000000000.0,37.02,1000000000.0
31,SANGAM HOSPITAL,Agra,-7.7282,1.1959,1,200,13,39000,15,96,6,45,59,49,15,30,2,71,86,66,15,73,67,44,48,2,45,41,20,15,1110,6070,5560,2170,6120,3840,3130,1560,3630,5950,5420,1210,380,2100,28,23,113,126,100,123,0.0726,0.0802,0.0942,0.0615,0.083,29.5887,1000000000.0,1.9215,3.8956,1000000000.0,14.9521,1000000000.0,6,1000000000.0,1,2,9,20.9,30.1,37.86,1000000000.0,1000000000.0,1000000000.0,39.84
32,SHRI RAMBABU GUPTA HEART HOSPITAL,Agra,-6.7513,-6.7298,1,100,13,22000,15,65,93,44,23,27,99,11,93,15,81,98,77,75,4,67,78,29,92,78,47,15,3830,1200,2350,1620,3640,6930,1760,180,4070,6350,5390,4320,6190,1200,27,35,131,42,23,132,0.0925,0.0542,0.0971,0.0951,0.0555,37.7713,29.5541,48.0314,6.2627,42.5955,36.4358,7,1000000000.0,5,8,8,1,61.72,11.04,40.51,1000000000.0,1000000000.0,13.98,3.74
33,G D MEMORIAL HOSPITAL,Agra,-9.0329,-4.3166,1,300,18,40000,15,96,14,80,82,8,42,25,16,70,66,100,64,28,56,89,57,53,47,62,22,15,5950,1790,1040,2970,1940,5370,2260,820,6880,3100,6540,2810,2830,4960,1000000000.0,82,122,25,98,150,0.0684,0.0943,0.0775,0.0556,0.0556,1000000000.0,2.9542,35.2995,34.5842,18.6755,1000000000.0,0,9,5,7,9,4,51.73,1000000000.0,46.95,1000000000.0,32.27,37.64,56.5
34,AVON HOSPITAL,Agra,8.5867,-4.6223,1,300,13,14000,15,86,8,66,12,20,66,71,32,2,18,58,35,24,20,87,59,59,82,58,91,15,2300,2330,3320,2150,1420,1360,4270,3160,4620,4300,1430,6880,4250,2600,59,67,34,119,27,147,0.054,0.06,0.083,0.0537,0.0685,2.3795,41.3139,7.5835,16.1287,31.9726,1000000000.0,7,8,9,1,4,2,18.86,54.0,17.72,1000000000.0,21.8,5.61,1000000000.0
35,DR.AGARWAL NURSING HOME,Agra,8.225,6.1688,1,100,12,28000,15,57,75,43,68,43,42,22,11,48,80,37,86,13,76,82,13,49,8,41,71,15,3760,5060,2320,2300,2990,6120,2910,4340,4220,4300,2940,6190,3350,2290,1000000000.0,111,84,110,135,114,0.0605,0.0623,0.0812,0.072,0.0991,8.772,22.1143,4.8563,42.9854,18.627,6.4991,6,1000000000.0,5,2,6,7,25.91,57.6,43.26,8.29,28.97,29.8,1.14
36,NAVJEEVAN HOSPITAL,Agra,2.2706,0.7708,1,250,12,44000,15,55,58,81,28,81,79,3,93,4,96,64,13,76,73,1,73,31,90,17,42,15,1140,6330,2050,3400,2280,6630,4240,5040,1520,2420,2880,6960,5360,2440,54,142,111,120,1000000000.0,127,0.0901,0.053,0.0548,0.0786,0.0526,49.578,45.0181,48.6707,1000000000.0,1000000000.0,30.7475,1,10,1000000000.0,1,4,7,1000000000.0,12.39,18.26,33.83,1000000000.0,55.47,29.4
37,SARITA MEDICARE CENTER AND MATERNITY HOME,Agra,3.1107,8.9767,1,150,11,34000,15,23,5,19,12,46,41,10,46,4,98,94,19,26,12,97,57,59,82,16,10,15,3760,1240,2550,2490,270,4770,3660,4540,7040,1690,2190,4470,3700,4240,1000000000.0,132,98,1000000000.0,1000000000.0,72,0.0695,0.051,0.0752,0.0981,0.0631,1000000000.0,2.8623,1000000000.0,21.4558,1000000000.0,48.2184,0,4,10,1000000000.0,4,0,20.79,13.26,1000000000.0,46.41,29.79,40.05,44.93
38,ISHWARI DEVI MEMORIAL HOSPITAL,Agra,-4.0198,-6.966,1,100,16,16000,15,91,91,9,95,78,98,20,61,68,18,32,66,30,9,10,27,76,28,95,32,15,6170,5920,5250,6600,6520,2030,1340,5030,5270,5780,2700,170,870,750,1000000000.0,53,121,129,66,1000000000.0,0.0839,0.0903,0.0671,0.0541,0.0636,1000000000.0,7.8402,1000000000.0,40.671,11.8209,34.8579,0,5,8,10,1000000000.0,1,27.72,13.26,2.2,37.99,22.93,24.75,31.77
39,JALIM SINGH KALAWATI HOSPITAL,Agra,-2.9967,9.8529,1,150,14,56000,15,2,97,65,75,55,25,46,71,63,35,31,77,25,28,15,30,19,22,66,60,15,4450,2780,5140,490,5140,1290,1990,3630,6970,6840,1660,2350,1900,750,48,26,148,1000000000.0,127,53,0.0952,0.0643,0.0748,0.0987,0.0734,0.5508,16.6062,25.6829,31.4535,3.1074,27.747,1000000000.0,6,1000000000.0,1000000000.0,8,7,46.65,15.03,1.97,33.36,47.41,26.02,1.04
40,K.G.NURSING HOME,Agra,-9.9134,0.8484,1,200,11,47000,15,46,63,41,36,88,93,24,95,62,44,45,70,2,86,52,69,7,54,94,66,15,480,3430,420,1270,570,6030,5240,2940,4400,5150,2350,6940,5280,4650,77,100,149,38,35,35,0.0681,0.0569,0.0875,0.0984,0.0775,20.4317,21.584,47.8146,17.1347,20.4249,41.3909,1000000000.0,10,10,8,2,1,47.58,64.64,34.4,1000000000.0,1000000000.0,35.95,40.82
41,KHANDELWAL NURSUING HOME,Agra,8.8754,-5.2512,1,150,19,29000,15,48,10,10,57,67,13,19,92,55,98,50,35,61,72,62,78,78,47,83,29,15,280,4550,5580,1830,1920,510,3540,3950,240,5900,1570,2380,2760,460,40,34,103,33,1000000000.0,34,0.0786,0.0853,0.0615,0.086,0.0922,43.2286,0.2738,33.9963,39.0112,8.5846,40.2039,8,1,2,10,5,6,25.42,63.18,33.0,66.39,20.71,54.65,1000000000.0
42,MAA BHAGWATI HOSPITAL,Agra,-2.9567,-8.6683,1,100,18,34000,15,89,95,5,5,81,5,97,2,50,67,73,70,52,9,28,90,44,54,71,96,15,5320,1160,830,520,6090,3000,2460,1450,2450,1920,3710,1700,3240,5450,66,83,48,1000000000.0,82,85,0.0653,0.0544,0.0666,0.0604,0.0661,1000000000.0,11.4749,27.8259,37.0437,1000000000.0,40.0358,1000000000.0,2,9,1,9,1000000000.0,63.68,11.5,63.94,7.0,19.35,1000000000.0,1000000000.0
43,RAMVED NURSING HOME,Agra,0.9922,8.7402,1,150,18,23000,15,68,78,10,14,98,81,32,2,5,96,42,75,100,68,32,75,80,46,15,62,15,2790,5780,4530,5220,6330,1640,2980,450,2300,5120,5470,2940,4920,1860,1000000000.0,1000000000.0,103,140,33,41,0.0722,0.0998,0.0522,0.0795,0.0584,22.4192,27.7897,1000000000.0,49.8727,15.2674,36.9362,2,1000000000.0,8,1000000000.0,9,5,35.34,44.47,44.43,27.89,64.9,47.26,1000000000.0
44,VIJAY NAGAR HOSPITAL,Agra,-3.0284,7.1563,1,300,14,29000,15,89,26,2,80,26,14,36,5,51,32,3,100,3,45,80,58,47,16,61,89,15,5960,1780,2060,5710,5060,320,5200,160,3880,6940,5060,5600,3450,4630,129,74,132,97,93,60,0.0867,0.0638,0.0616,0.0606,0.0925,22.5465,6.3916,20.0948,23.7852,31.8102,26.6194,1,4,4,1000000000.0,7,10,1000000000.0,66.65,61.58,44.56,61.65,67.96,26.62
45,MEDIHOPE HOSPITAL,Agra,1.9098,4.5501,1,200,13,30000,15,20,46,83,79,13,81,80,3,8,57,92,44,59,26,91,19,47,26,32,30,15,6920,2620,3410,1090,6440,1660,2360,5080,490,4370,7100,1290,7100,800,121,59,73,61,134,83,0.0626,0.0559,0.0744,0.0793,0.0853,1000000000.0,38.2759,1000000000.0,32.7302,6.1383,28.8642,1000000000.0,4,3,4,9,1,1000000000.0,1000000000.0,59.57,43.4,6.38,1000000000.0,26.71
46,PULSE CLINIC,Agra,-1.2467,-6.6704,1,250,20,40000,15,85,24,27,79,7,69,53,13,19,27,25,94,13,51,20,71,84,27,87,8,15,380,3460,870,5850,4690,1710,4290,5640,5330,3020,450,1450,2710,1770,150,32,60,1000000000.0,1000000000.0,22,0.0766,0.057,0.0691,0.0947,0.0817,40.1874,46.582,30.1995,10.6065,1000000000.0,30.4821,1000000000.0,1,4,1000000000.0,3,8,62.56,68.25,7.73,1000000000.0,34.19,5.05,35.03
47,DR. MAMTA MEDICARE,Agra,-0.3226,-8.7092,1,200,15,52000,15,82,69,76,18,78,36,35,16,23,63,88,26,71,42,79,51,42,46,94,8,15,2930,5290,6650,5160,1000,2480,170,1590,6780,2580,4890,3200,2880,2810,136,1000000000.0,32,1000000000.0,73,117,0.0892,0.0583,0.0737,0.0959,0.0639,16.8,8.5523,40.9891,5.5974,47.5061,1000000000.0,0,3,1000000000.0,5,7,9,60.25,63.6,68.77,67.01,18.0,28.75,67.32
